create external table petrol (districtid string, distributor string, buyratemillion string, sellratemillion string, volumeINmillioncubiclitre int,volumeOUTmillioncubiclitre int,year int) row format delimited fields terminated by ',' lines terminated by '\n' stored as textfile;

load data local inpath '/home/cloudera/Downloads/petrol' into table petrol;

1)In real life what is the total amount of petrol in volume sold by every distributor?
select distributor,SUM(volumeoutmillioncubiclitre) as from petrol group by distributor;

distributor	_c1
Bharat	83662
hindustan	71767
reliance	76558
shell	69266

2)Which are the top 10 distributors ID’s for selling petrol and also display the amount of petrol sold in volume by them individually
select districtid,volumeoutmillioncubiclitre from petrol order by volumeoutmillioncubiclitre desc limit 10;

districtid	totalvol
T1A 9W4	899
S8W 0P4	899
V8U 2T6	898
O9P 9S3	897
O8A 6Z5	897
F6W 6H3	896
M6S 1P4	895
N5Q 8E5	895
J4M 4G3	895
E6O 9P1	895

3)Find real life 10 distributor name who sold petrol in the least amount.

select districtid, volumeoutmillioncubiclitre from petrol order by volumeoutmillioncubiclitre limit 10;

districtid	volumeoutmillioncubiclitre
F4D 6K2	602
H7M 4M4	603
G9F 6U7	607
R3W 2E3	608
H4P 6A9	610
O5D 2R6	610
W0M 8R7	612
V0Z 0F6	612
O0D 0L1	612
L9H 1K6	613

4)The constraint to this query is the difference between volumeIN and volumeOuT is illegal in real life if greater than 200. 
As we see all distributors are receiving patrols on every next cycle.
List all distributors who have this difference, along with the year and the difference which they have in that year.

select districtid,year,(volumeinmillioncubiclitre-volumeoutmillioncubiclitre) as difference from petrol where (volumeinmillioncubiclitre-volumeoutmillioncubiclitre)>200 order by difference;

districtid	year	difference
I6Y 7C1	1863	256
S6P 1H0	1777	257
S0W 4D3	1638	257
L6Q 4S1	1668	257
D2Y 0R0	1808	258
B6W 5U4	1802	258
C1K 7H9	1704	258
O5C 2A0	1628	258
I0Z 2Z4	1760	260
E1J 4L2	1827	260
Z3F 8R8	1894	261
Q7V 2U7	1921	261
F9Z 7J0	1977	261
D1N 6E3	1960	261
Q5Y 9T3	1885	262
K7H 0Q6	1913	262
M4P 8L4	1783	265
X4P 9X8	1835	265
U6Q 5G9	1730	265
M3V 3B9	1672	266
L8C 6K6	1791	267
W9Y 0O2	1711	267
I8X 7A3	1735	267
X4V 4V9	1715	268
R2A 8Y1	1780	268
W5Q 9O8	1785	268
C5G 4O5	1851	269
H6L 8Y6	2011	270
M9P 6H7	1812	271
D0B 2F3	1728	271
Y5V 1N5	1984	272
Q0U 9C9	1648	272
Q5V 3J6	2012	274
K2W 7C6	1762	275
Y5J 9U4	1882	275
S9F 6Z3	1803	275
A9Y 9T7	1936	278
Y5U 1W4	1680	278
E9I 6X2	1908	279
G1O 6H9	1944	280
Q0F 1B9	1702	281
S4W 1Q6	1665	281
T9M 3N6	1973	282
F2N 4R7	1988	282
Q6M 2R9	1700	282
I4A 3Z4	1829	282
R8N 2U2	1729	283
U2L 1I0	1692	284
X1U 0F9	1690	284
X8R 9W5	1983	284
B2K 7U1	1890	284
G0M 7P9	1841	286
D1V 5U7	1919	286
Y8I 6V4	1738	287
K7C 4C1	1660	287
I3U 6H8	1939	287
L9H 1K6	1871	288
A2W 5W2	1878	289
A0P 2M4	1917	290
O4D 5T0	1826	290
D7X 2X5	1750	290
T6D 8L6	1643	292
M0U 9F5	1931	293
H3P 8B8	2007	293
F1D 9S9	1868	294
E5T 2A9	1796	294
N6D 1V0	1658	295
C5X 1C3	1899	296
U3N 7E5	1854	296
C7W 9P0	1636	296
F5X 8A5	2016	296
I0E 7N9	1968	300
E2N 8M2	1876	303
B9B 0X4	1676	304
J0L 3D8	1951	304
U0K 6G8	1789	305
S7H 8Y5	1986	305
P3L 7M1	1647	306
R7A 9F2	1923	306
S2Z 0C3	1825	308
X6E 2N5	1992	309
M2D 2M9	1682	309
Y7A 8W0	1716	310
F2B 6E8	1678	310
O0D 0L1	1954	311
K9N 3H4	1689	312
L1B 5V1	1967	312
M1T 6D1	1674	314
D6P 0Q5	1766	315
D6D 5A9	1929	315
A5T 3F4	1940	317
G1S 6R5	1949	319
Y1Z 7G3	2018	321
P3Q 0Q9	1651	322
V7P 6U6	1937	323
E7T 3Q5	2022	324
I4E 6U4	1731	324
T1H 4V4	1916	326
K3J 3I1	1657	329
G9F 6U7	1774	330
Y1U 9G2	1953	333
Q0T 6T2	1881	334
O5D 2R6	1915	336
G8D 6J6	1824	336
O5S 1T6	1900	337
C3X 6N9	1817	337
O3A 5G3	1845	338
V2N 7P9	1963	339
H5X 2J2	1849	341
N7Y 3W5	1804	342
Y8J 9A6	1816	343
Z7O 7C2	1625	345
B0B 0W6	1655	345
J2X 7Y6	1911	346
F8R 3A1	1959	347
D2X 4E5	1654	348
X0E 4R4	1722	349
Z2G 8W2	1991	349
G0C 8Q8	1831	349
K0A 0R0	1892	349
B1C 2A4	1719	350
Q4F 7J5	1927	351
N2I 6Q0	1856	353
P8Q 8W7	1906	354
U5C 0Z9	2001	355
L5J 3T6	1798	356
I9Y 2N9	1947	358
N8P 2B0	1901	358
R9K 2I8	1970	358
Y0V 9Z4	1910	359
X7N 3V4	1797	361
W2A 5I6	1793	362
U3O 8L7	1669	362
D0E 3P2	1671	363
Z4R 2O7	1718	363
S9T 4W1	1952	365
M5M 6I7	1724	365
H1L 4D8	1982	365
B4N 8E1	2023	366
M7Y 7L8	1814	368
I3H 0Z4	1763	369
F4D 6K2	2005	370
S3O 4E7	1656	371
Z0I 0G8	1684	373
H7M 4M4	1861	373
O9U 1V9	1855	374
B2V 5K7	1788	375
S7M 9R5	1664	375
H4P 6A9	1898	375
U9L 6X1	1956	378
D9L 6K0	1903	378
R7J 4Q0	1912	378
J6D 3V0	1950	381
D6N 0K0	1974	381
Z5V 9I3	1666	383
M5E 1U3	2002	383
I2C 3J0	1743	385
J5Q 1H7	1866	387
T4T 3K2	2003	387
H4B 0M0	1818	389
K3E 9F5	1799	389
I9V 8Q9	1980	390
B1Q 2H4	1781	390
T3H 4S8	1966	390
U9J 2U7	1948	391
X1V 7T9	1979	394
E7J 0O9	1875	394
S7N 7M4	1945	395
P5C 4O8	1880	397
J2P 0H2	1807	399
D2O 2X9	1644	401
M2B 0Q2	1779	401
C1N 6M7	1832	402
I6D 1H5	1955	403
H7W 3Q3	1670	406
P1B 7R8	1930	406
C8L 5T7	1946	406
N0D 4G5	1749	407
J1O 5K1	2019	408
Q4W 8F6	1741	409
F9H 4S7	1727	409
S1J 8B8	1627	409
H8W 3U0	1745	417
R6N 9L2	1746	419
E3O 3Y7	1794	421
V0Z 0F6	1708	422
M4V 0E1	1847	423
A0X 9H9	1784	423
G7K 1D3	1852	424
H5N 9W3	1662	428
C4L 9Y5	1995	428
N2I 6C8	1823	431
Y5F 0S2	1833	434
J1C 3G1	1934	435
W0M 8R7	1697	435
N3N 0W9	1769	440
K3Z 9G3	1726	443
J7Z 9V4	1748	446
T4L 8D0	2000	452
M1J 2H6	1693	455
C9B 3Q8	1782	457
C0G 8G1	1843	460
V8S 4P6	1732	464
A7Z 3L9	1795	474
I2N 7S1	1935	478
R3W 2E3	1767	480
E6U 0I2	1646	483
